(ECON 233, LEC 2, TR, 10:00AM, 11:50AM, Lyyla Khalid)
(ECON 240, LEC 1, TR, 10:00AM, 11:50AM, Ayesha Ali)
(ECON 240, LEC 2, TR, 3:00PM, 4:50PM, Nadia Mukhtar Sayed)
(ECON 261, LEC 1, TR, 2:00PM, 3:50PM, Sheraz Latif Malik)
(ECON 262, LEC 1, TR, 11:00AM, 12:50PM, Noor Adnan Qureshi)
(ECON 317, LEC 1, TR, 12:00PM, 1:50PM, Syed Ali Hasanain)
(ECON 330, LEC 1, TR, 3:00PM, 4:30PM, Farah Said)
(ECON 330, LAB 1, F, 12:00PM, 12:50PM, Rabia Khan)
(ECON 330, LAB 2, F, 2:00PM, 2:50PM, Rabia Khan)
(ECON 330, LEC 2, MW, 10:00AM, 11:30AM, nan)
(ECON 330, LAB 3, W, 1:00PM, 1:50PM, Yushma Umar)
(ECON 330, LAB 4, R, 1:00PM, 1:50PM, Yushma Umar)
(ECON 330, LEC 3, TR, 10:00AM, 11:30AM, nan)
(ECON 330, LAB 5, R, 2:00PM, 2:50PM, Yushma Umar)
(ECON 330, LAB 6, M, 2:00PM, 2:50PM, Yushma Umar)
(ECON 351, LEC 1, MW, 12:00PM, 1:50PM, S.M. Turab Hussain)
(ECON 363, LEC 1, MW, 2:00PM, 3:50PM, nan)
(ECON 4102, LEC 1, TR, 9:30AM, 11:20AM, Hadia Majid)
(ECON 423, LEC 1, TR, 12:00PM, 1:50PM, Antonio Marasco)
(ECON 425, LEC 1, MW, 10:00AM, 11:50AM, Kashif Zaheer Malik)
(ECON 427, LEC 1, MW, 4:00PM, 5:50PM, Syed Zahid Ali)
(ECON 438, LEC 1, MW, 10:00AM, 11:50AM, Adeel Tariq)
(ECON 4402, LEC 1, TR, 11:30AM, 1:20PM, Ameem Lutfi)
(ECON 441, LEC 1, TR, 9:00AM, 10:50AM, Khalid Mir)
(ECON 4410, LEC 1, MW, 9:00AM, 10:50AM, Nazish Afraz)
(ECON 4413, LEC 1, TR, 10:00AM, 11:50AM, Abid Aman Burki)
(ECON 4416, LEC 1, MW, 12:00PM, 1:50PM, Syed Muhammad Hasan)
(ECON 449, LEC 1, TR, 2:30PM, 4:20PM, Khalid Mir)
(ECON 4602, LEC 1, TR, 2:00PM, 3:50PM, Sher Afghan Asad)
(ECON 466, LEC 1, TR, 3:00PM, 4:50PM, Daud Ahmed Dard)
(ECON 511, LEC 1, TR, 10:00AM, 11:50AM, Osama Khan)
(ECON 531, LEC 1, MW, 10:00AM, 11:50AM, Mushtaq Ahmad Khan)
(ECON 536, LEC 1, MW, 12:00PM, 1:50PM, Syed Zahid Ali)
(EDU 210, LEC 1, MW, 10:00AM, 11:15AM, Gulab Khan)
(EDU 262, LEC 1, MW, 3:00PM, 4:15PM, Daniyal Yousaf)
(EDU 272, LEC 1, TR, 3:00PM, 4:15PM, Joham Aziz)
(EDU 274, LEC 1, MW, 10:00AM, 11:15AM, Hasham Nasir)
(EDU 319, LEC 1, MW, 11:30AM, 12:45PM, Jasir Shahbaz)
